timestamp,nx,ny,nz,visibility_score,inlier_score,combined_score
1774618509.520716906,0.022097,0.030498,-0.999291,0.1293,1.0000,0.4776
1774618509.570724964,0.020169,0.030602,-0.999328,0.1157,1.0000,0.4694
1774618509.620713949,0.024206,0.029730,-0.999265,0.3366,1.0000,0.6019
1774618509.720762968,0.021553,0.030754,-0.999295,0.7569,1.0000,0.8541
1774618509.771135092,0.018179,0.029688,-0.999394,0.9053,1.0000,0.9432
1774618509.821146965,0.014579,0.021385,-0.999665,0.8941,1.0000,0.9364
1774618509.871543884,0.028957,0.030143,-0.999126,0.6406,1.0000,0.7844
1774618509.921578884,0.020179,0.028454,-0.999391,0.1448,1.0000,0.4869
1774618509.971538067,0.018215,0.029848,-0.999388,0.4173,1.0000,0.6504
1774618510.022021055,0.020497,0.028801,-0.999375,0.7337,1.0000,0.8402
1774618510.072036982,0.044938,0.029263,-0.998561,0.9392,1.0000,0.9635
1774618510.122004986,0.023188,0.033562,-0.999168,0.9604,1.0000,0.9762
1774618510.171595097,0.014089,0.031898,-0.999392,0.8297,1.0000,0.8978
1774618510.221606016,0.028941,0.030273,-0.999123,0.5955,1.0000,0.7573
1774618510.271651030,0.028980,0.028251,-0.999181,0.3299,1.0000,0.5979
1774618510.321610928,0.026106,0.027114,-0.999291,0.1242,1.0000,0.4745
1774618510.421205044,0.020469,0.026259,-0.999446,0.4626,1.0000,0.6776
1774618510.571645975,0.019458,0.030567,-0.999343,0.5942,1.0000,0.7565
1774618510.622102976,0.018887,0.033822,-0.999249,0.4949,1.0000,0.6969
1774618510.672054052,0.014293,0.030352,-0.999437,0.3096,1.0000,0.5857
1774618510.722472906,0.045693,0.031049,-0.998473,0.1330,1.0000,0.4798
1774618510.772542000,0.029136,0.034110,-0.998993,0.1503,1.0000,0.4902
1774618510.822482109,0.020342,0.031605,-0.999293,0.3086,1.0000,0.5851
1774618510.872520924,0.025578,0.028934,-0.999254,0.4043,1.0000,0.6426
1774618510.922461033,0.023856,0.028383,-0.999312,0.3887,1.0000,0.6332
1774618510.972124100,0.024403,0.026705,-0.999345,0.3072,1.0000,0.5843
1774618511.021688938,0.025319,0.030370,-0.999218,0.1593,1.0000,0.4956
1774618511.071274996,0.022441,0.030603,-0.999280,0.1575,1.0000,0.4945
1774618511.121388912,0.034170,0.026823,-0.999056,0.1938,1.0000,0.5163
1774618511.270895958,0.025952,0.029190,-0.999237,0.7066,1.0000,0.8239
1774618511.320940018,0.021195,0.026271,-0.999430,0.8893,1.0000,0.9336
1774618511.370939016,0.025251,0.030761,-0.999208,0.9614,1.0000,0.9769
1774618511.470921040,0.019427,0.033770,-0.999241,0.7402,1.0000,0.8441
1774618511.521339893,0.021890,0.029111,-0.999336,0.3989,1.0000,0.6393
1774618511.571399927,0.023894,0.032693,-0.999180,0.3361,1.0000,0.6016
1774618511.621334076,-0.000751,0.028347,-0.999598,0.7222,1.0000,0.8333
1774618511.671395063,0.013253,0.032132,-0.999396,0.9121,1.0000,0.9473
1774618511.721400976,0.031430,0.032510,-0.998977,0.9152,1.0000,0.9491
1774618511.771414042,0.036905,0.033858,-0.998745,0.7831,1.0000,0.8699
1774618511.821043015,0.005246,0.029079,-0.999563,0.5682,1.0000,0.7409
1774618511.871007919,0.007562,0.028379,-0.999569,0.2207,1.0000,0.5324
1774618511.920977116,-0.008037,0.054516,-0.998481,0.5026,0.2617,0.4063
1774618512.121062040,0.012260,0.030947,-0.999446,0.9760,1.0000,0.9856
1774618512.171484947,0.028440,0.028927,-0.999177,0.8884,1.0000,0.9330
1774618512.221476078,0.028121,0.030643,-0.999135,0.6341,1.0000,0.7805
1774618512.271518946,0.026457,0.027558,-0.999270,0.3507,1.0000,0.6104
1774618512.321856976,0.034243,0.034155,-0.998830,0.1620,1.0000,0.4972
