timestamp,normal_type,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable,recovered_from_segmentation_failure
1784806286.221737,raw,0.0465438,-0.260387,0.964382,-13.7554,-2.12811,0.0860202,0,0.0559131,0.0860202,0,0.0559131,16,3568,0.0044843,0,1,0
1784806286.221737,scored,0.0465438,-0.260387,0.964382,-13.7554,-2.12811,0.0860202,0,0.0559131,0.0860202,0,0.0559131,16,3568,0.0044843,0,1,0
1784806286.221737,smoothed_raw,0.00984678,-0.241123,0.970445,-13.7554,-2.12811,0.0860202,0,0.0559131,0.0860202,0,0.0559131,16,3568,0.0044843,0,1,0
1784806286.221737,smoothed_scored,0.0320994,-0.254445,0.966554,-13.7554,-2.12811,0.0860202,0,0.0559131,0.0860202,0,0.0559131,16,3568,0.0044843,0,1,0
1784806288.323877,raw,-0.267337,0.367058,0.890954,6.96877,16.2421,0.184795,0.337702,0.238312,0.184795,0.337702,0.238312,67,1984,0.0337702,0,1,0
1784806288.323877,scored,-0.267337,0.367058,0.890954,6.96877,16.2421,0.184795,0.337702,0.238312,0.184795,0.337702,0.238312,67,1984,0.0337702,0,1,0
1784806288.323877,smoothed_raw,-0.0953559,0.00515673,0.99543,6.96877,16.2421,0.184795,0.337702,0.238312,0.184795,0.337702,0.238312,67,1984,0.0337702,0,1,0
1784806288.323877,smoothed_scored,-0.20118,0.225271,0.953299,6.96877,16.2421,0.184795,0.337702,0.238312,0.184795,0.337702,0.238312,67,1984,0.0337702,0,1,0
1784806288.370720,raw,-0.19164,-0.28847,0.938115,-6.1196,7.47025,0.0965536,0,0.0627598,0.0965536,0,0.0627598,12,2192,0.00547445,0,1,0
1784806288.370720,scored,-0.19164,-0.28847,0.938115,-6.1196,7.47025,0.0965536,0,0.0627598,0.0965536,0,0.0627598,12,2192,0.00547445,0,1,0
1784806288.370720,smoothed_raw,-0.22671,0.050235,0.972666,-6.1196,7.47025,0.0965536,0,0.0627598,0.0965536,0,0.0627598,12,2192,0.00547445,0,1,0
1784806288.370720,smoothed_scored,-0.214289,-0.143425,0.966183,-6.1196,7.47025,0.0965536,0,0.0627598,0.0965536,0,0.0627598,12,2192,0.00547445,0,1,0
1784806288.870914,raw,-0.0834879,0.203,0.975613,-165.303,-6.5333,0.164403,0.424528,0.255447,0.164403,0.424528,0.255447,72,1696,0.0424528,0,1,0
1784806288.870914,scored,-0.0834879,0.203,0.975613,-165.303,-6.5333,0.164403,0.424528,0.255447,0.164403,0.424528,0.255447,72,1696,0.0424528,0,1,0
1784806288.870914,smoothed_raw,-0.156711,-0.0381787,0.986906,-165.303,-6.5333,0.164403,0.424528,0.255447,0.164403,0.424528,0.255447,72,1696,0.0424528,0,1,0
1784806288.870914,smoothed_scored,-0.113431,0.0946335,0.989029,-165.303,-6.5333,0.164403,0.424528,0.255447,0.164403,0.424528,0.255447,72,1696,0.0424528,0,1,0
