timestamp,preprocessing_ms,plane_ms,total_ms,success
1784806308.621061,0.511000,0.000000,0.511000,1
1784806308.671117,0.460000,0.000000,0.460000,1
1784806308.720911,0.581000,0.000000,0.581000,1
1784806308.771180,1.484000,0.000000,1.484000,1
1784806308.821340,1.172000,0.000000,1.172000,1
1784806308.870977,1.014000,0.048000,1.062000,1
1784806308.921129,1.218000,0.000000,1.218000,1
1784806308.971200,0.497000,0.000000,0.497000,1
1784806309.021860,0.572000,0.000000,0.572000,1
1784806309.071921,0.658000,0.000000,0.658000,1
1784806309.121668,0.538000,0.000000,0.538000,1
1784806309.178620,1.427000,0.171000,1.598000,1
1784806309.228582,1.119000,0.000000,1.119000,1
1784806309.278347,1.376000,0.087000,1.463000,1
1784806309.321211,1.175000,0.000000,1.175000,1
1784806309.371165,0.740000,0.000000,0.740000,1
1784806309.421420,0.624000,0.000000,0.624000,1
1784806309.471024,0.825000,0.000000,0.825000,1
1784806309.521213,0.492000,0.000000,0.492000,1
1784806309.571038,0.682000,0.000000,0.682000,1
1784806309.621439,0.650000,0.086000,0.736000,1
1784806309.671242,0.419000,0.000000,0.419000,1
1784806309.721470,0.479000,0.000000,0.479000,1
1784806309.771631,0.579000,0.000000,0.579000,1
1784806309.821514,0.606000,0.000000,0.606000,1
1784806309.872279,0.547000,0.000000,0.547000,1
1784806309.922112,0.820000,0.000000,0.820000,1
1784806309.980273,0.977000,0.079000,1.056000,1
1784806310.022869,1.028000,0.000000,1.028000,1
1784806310.073080,0.938000,0.000000,0.938000,1
1784806310.122902,0.853000,0.000000,0.853000,1
1784806310.172700,0.899000,0.000000,0.899000,1
1784806310.224923,0.608000,0.000000,0.608000,1
1784806310.274120,0.699000,0.000000,0.699000,1
1784806310.322765,0.719000,0.000000,0.719000,1
1784806310.369769,0.720000,0.000000,0.720000,1
1784806310.419770,0.667000,0.000000,0.667000,1
1784806310.469579,0.650000,0.000000,0.650000,1
1784806310.519179,0.633000,0.000000,0.633000,1
1784806310.568951,1.014000,0.000000,1.014000,1
1784806310.618891,0.617000,0.000000,0.617000,1
1784806310.668548,0.483000,0.000000,0.483000,1
1784806310.718503,0.614000,0.000000,0.614000,1
1784806310.768168,0.689000,0.000000,0.689000,1
1784806310.817785,0.438000,0.000000,0.438000,1
1784806310.867837,0.451000,0.000000,0.451000,1
1784806310.917634,0.833000,0.000000,0.833000,1
1784806310.968070,0.811000,0.000000,0.811000,1
1784806311.023865,0.795000,0.000000,0.795000,1
1784806311.070086,0.796000,0.000000,0.796000,1
1784806311.120864,0.540000,0.000000,0.540000,1
1784806311.169700,0.524000,0.000000,0.524000,1
1784806311.219058,0.531000,0.000000,0.531000,1
1784806311.269460,0.548000,0.000000,0.548000,1
1784806311.319475,0.573000,0.000000,0.573000,1
1784806311.369498,0.630000,0.000000,0.630000,1
1784806311.419498,0.626000,0.000000,0.626000,1
1784806311.469488,0.616000,0.000000,0.616000,1
1784806311.519737,0.605000,0.000000,0.605000,1
1784806311.570153,1.069000,0.000000,1.069000,1
1784806311.619774,1.085000,0.000000,1.085000,1
1784806311.670135,1.052000,0.000000,1.052000,1
1784806311.720162,1.443000,0.000000,1.443000,1
1784806311.769554,1.072000,0.000000,1.072000,1
1784806311.820551,0.682000,0.000000,0.682000,1
1784806311.870980,0.697000,0.000000,0.697000,1
1784806311.920587,0.687000,0.000000,0.687000,1
1784806311.970598,1.040000,0.000000,1.040000,1
1784806312.020828,0.536000,0.000000,0.536000,1
1784806312.070585,0.473000,0.000000,0.473000,1
1784806312.120624,0.441000,0.000000,0.441000,1
1784806312.171021,0.700000,0.000000,0.700000,1
1784806312.220418,0.454000,0.000000,0.454000,1
1784806312.270258,0.464000,0.000000,0.464000,1
1784806312.320034,0.748000,0.000000,0.748000,1
1784806312.370242,0.683000,0.000000,0.683000,1
1784806312.420043,0.412000,0.000000,0.412000,1
1784806312.470705,0.706000,0.000000,0.706000,1
1784806312.520423,0.683000,0.000000,0.683000,1
1784806312.570862,0.682000,0.000000,0.682000,1
1784806312.628023,0.531000,0.000000,0.531000,1
1784806312.678719,0.428000,0.000000,0.428000,1
1784806312.728715,0.407000,0.000000,0.407000,1
1784806312.778523,0.418000,0.000000,0.418000,1
1784806312.828315,0.649000,0.000000,0.649000,1
1784806312.878747,0.435000,0.000000,0.435000,1
1784806312.928494,0.443000,0.000000,0.443000,1
1784806312.978342,0.443000,0.000000,0.443000,1
1784806313.027951,0.432000,0.000000,0.432000,1
1784806313.078349,0.443000,0.000000,0.443000,1
1784806313.129163,0.412000,0.000000,0.412000,1
1784806313.178918,0.425000,0.000000,0.425000,1
1784806313.228833,0.422000,0.000000,0.422000,1
1784806313.278599,0.426000,0.000000,0.426000,1
1784806313.329585,0.815000,0.000000,0.815000,1
